OBJECTID,GEOID,GEO,NAME,POSITIVE,NEGATIVE,DEATHS,LoadDttm,POP,ShapeSTArea,ShapeSTLength
36,55001,County,Adams,4,120,1,2020-04-23T06:00:00.000Z,20073,3438449806.70312,287039.236701814
11,55003,County,Ashland,2,86,0,2020-04-23T06:00:00.000Z,15712,5727268628.4375,770460.66048926
40,55005,County,Barron,6,634,0,2020-04-23T06:00:00.000Z,45252,4677777581.72266,273518.663059626
21,55007,County,Bayfield,3,118,1,2020-04-23T06:00:00.000Z,14992,8273016941.5625,516531.049687877
53,55009,County,Brown,455,1499,2,2020-04-23T06:00:00.000Z,259786,2721387258.97266,331857.050826981
69,55011,County,Buffalo,4,150,1,2020-04-23T06:00:00.000Z,13167,3597712790.89844,297407.68256364
49,55013,County,Burnett,0,68,0,2020-04-23T06:00:00.000Z,15258,4697324770.76562,366429.962364556
47,55015,County,Calumet,6,282,0,2020-04-23T06:00:00.000Z,49807,1993435150.45703,189266.428044386
50,55017,County,Chippewa,20,801,0,2020-04-23T06:00:00.000Z,63635,5406849245.54297,303010.478701697
64,55019,County,Clark,18,160,1,2020-04-23T06:00:00.000Z,34491,6255341804.70312,326265.465979257
63,55021,County,Columbia,27,610,1,2020-04-23T06:00:00.000Z,56954,3915273409.10547,306650.90492624
27,55023,County,Crawford,3,174,0,2020-04-23T06:00:00.000Z,16288,2924582956.78125,249753.829404911
46,55025,County,Dane,387,7581,21,2020-04-23T06:00:00.000Z,529843,6008234736.25,317640.121443263
45,55027,County,Dodge,20,714,1,2020-04-23T06:00:00.000Z,87776,4454479279.33984,269209.779551748
72,55029,County,Door,9,112,1,2020-04-23T06:00:00.000Z,27439,2521368817.16797,677955.026268376
51,55031,County,Douglas,9,418,0,2020-04-23T06:00:00.000Z,43402,7316905731.48047,374792.754627018
4,55033,County,Dunn,9,806,0,2020-04-23T06:00:00.000Z,44498,4466794838.08594,277720.579072528
28,55035,County,Eau Claire,23,1586,0,2020-04-23T06:00:00.000Z,102991,3310809448.64844,243677.80748982
39,55037,County,Florence,2,16,0,2020-04-23T06:00:00.000Z,4337,2653589283.87109,265968.749079438
