NAME,POSITIVE,NEGATIVE,DEATHS,DATE,OBJECTID,GEOID,DTHS_90,DTHS_80_89,DTHS_70_79,DTHS_60_69,DTHS_50_59,DTHS_40_49,DTHS_30_39,DTHS_20_29,DTHS_10_19,DTHS_0_10,DTHS_MALE,DTHS_FEM,POS_90,POS_80_89,POS_70_79,POS_60_69,POS_50_59,POS_20_29,POS_30_39,POS_40_49,POS_10_19,POS_0_10,POS_FEM,POS_MALE,HOSP_UNK,HOSP_NO,HOSP_YES,Shape__Area,Shape__Length
Racine,16,,0,2020-03-28T06:00:00.000Z,1002,55101,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636226363.61719,185702.998602
Richland,2,,0,2020-03-28T06:00:00.000Z,1003,55103,,,,,,,,,,,,,,,,,,,,,,,,,,,,2889986695.23047,230442.64455316
Rock,12,,0,2020-03-28T06:00:00.000Z,1004,55105,,,,,,,,,,,,,,,,,,,,,,,,,,,,3480473693.03906,236911.643053941
Rusk,0,,0,2020-03-28T06:00:00.000Z,1005,55107,,,,,,,,,,,,,,,,,,,,,,,,,,,,4902668220.77734,302007.708227095
St. Croix,4,,0,2020-03-28T06:00:00.000Z,1006,55109,,,,,,,,,,,,,,,,,,,,,,,,,,,,3814789253.19531,258501.063582408
Sauk,11,,1,2020-03-28T06:00:00.000Z,1007,55111,,,,,,,,,,,,,,,,,,,,,,,,,,,,4171491059.89453,298769.80494881
Sawyer,0,,0,2020-03-28T06:00:00.000Z,1008,55113,,,,,,,,,,,,,,,,,,,,,,,,,,,,7214509140.28125,360171.461103356
Shawano,0,,0,2020-03-28T06:00:00.000Z,1009,55115,,,,,,,,,,,,,,,,,,,,,,,,,,,,4676549354.62109,357954.859127478
Sheboygan,8,,0,2020-03-28T06:00:00.000Z,1010,55117,,,,,,,,,,,,,,,,,,,,,,,,,,,,2567522883.65625,201754.33473565
Taylor,0,,0,2020-03-28T06:00:00.000Z,1011,55119,,,,,,,,,,,,,,,,,,,,,,,,,,,,5137786729.77734,306881.556921938
Trempealeau,0,,0,2020-03-28T06:00:00.000Z,1012,55121,,,,,,,,,,,,,,,,,,,,,,,,,,,,3752945297.70703,313837.647781852
Vernon,0,,0,2020-03-28T06:00:00.000Z,1013,55123,,,,,,,,,,,,,,,,,,,,,,,,,,,,4031951200.36719,305596.120070778
Vilas,2,,0,2020-03-28T06:00:00.000Z,1014,55125,,,,,,,,,,,,,,,,,,,,,,,,,,,,5471535427.30859,360890.554534532
Walworth,6,,0,2020-03-28T06:00:00.000Z,1015,55127,,,,,,,,,,,,,,,,,,,,,,,,,,,,2763384637.44141,210736.578342363
Washburn,0,,0,2020-03-28T06:00:00.000Z,1016,55129,,,,,,,,,,,,,,,,,,,,,,,,,,,,4562524359.33203,279035.940438149
Washington,31,,0,2020-03-28T06:00:00.000Z,1017,55131,,,,,,,,,,,,,,,,,,,,,,,,,,,,2136042605.42969,191060.862299458
Waukesha,72,,0,2020-03-28T06:00:00.000Z,1018,55133,,,,,,,,,,,,,,,,,,,,,,,,,,,,2814107356.61719,212117.252527239
Waupaca,1,,1,2020-03-28T06:00:00.000Z,1019,55135,,,,,,,,,,,,,,,,,,,,,,,,,,,,3892220630.02734,273669.552662916
Waushara,0,,0,2020-03-28T06:00:00.000Z,1020,55137,,,,,,,,,,,,,,,,,,,,,,,,,,,,3203281170.625,239611.363862821
Winnebago,7,,0,2020-03-28T06:00:00.000Z,1021,55139,,,,,,,,,,,,,,,,,,,,,,,,,,,,2903345538.52734,215715.561516527
Wood,2,,0,2020-03-28T06:00:00.000Z,1022,55141,,,,,,,,,,,,,,,,,,,,,,,,,,,,4114304657.85938,268062.955675582
Adams,0,24,0,2020-03-29T06:00:00.000Z,1024,55001,,,,,,,,,,,,,,,,,,,,,,,,,,,,3438449806.70313,287039.236701815
